Linha 472 |claim_uid: 3oihkb |cord_uid: vlhbe3bt |title: Senior_medical_students_as_assistants_in_medicine_in_COVID-19_crisis:_a_realist_evaluation_protocol |doi: 10.1136/bmjopen-2020-045822 |numerical_claims: As_more_'lines_of_enquiry'_27_are_identified,_for_example,_through_interviews_with_key_stakeholders_who_have_been_involved_in_initiating_and_developing_the_Assistant_in_Medicine_programme,_these_will_be_followed_up_and_further_literature_searches_will_be_conducted_(dovetailing_onto_our_realist_synthesis). |publish_time: 06/09/2021 |authors: Monrouxe,_Lynn_V,_Hockey,_Peter,_Khanna,_Priya,_Klinner,_Christiane,_Mogensen,_Lise,_O'Mara,_D_A,_Roach,_Abbey,_Tobin,_Stephen,_Davids,_Jennifer_Ann |journal: BMJ_Open |country: Australia |institution: University_of_Sydney
Linha 897 |claim_uid: 6ofxvt |cord_uid: bjz7m7od |title: Randomized_controlled_trial_of_convalescent_plasma_therapy_against_standard_therapy_in_patients_with_severe_COVID-19_disease |doi: 10.1038/s41598-021-89444-5 |numerical_claims: For_all_statistical_analyses,_a_two-tailed_p_<_0.05_is_considered_to_indicate_statistical_significance. |publish_time: 11/05/2021 |authors: AlQahtani,_Manaf,_Abdulrahman,_Abdulkarim,_Almadani,_Abdulrahman,_Alali,_Salman_Yousif,_Al_Zamrooni,_Alaa_Mahmood,_Hejab,_Amal_Hamza,_Conroy,_Ronán_M.,_Wasif,_Pearl,_Otoom,_Sameer,_Atkin,_Stephen_L.,_Abduljalil,_Manal |journal: Sci_Rep |country: Bahrain |institution: Bahrain_Defence_Force_Hospital
Linha 898 |claim_uid: 8pyemz |cord_uid: bjz7m7od |title: Randomized_controlled_trial_of_convalescent_plasma_therapy_against_standard_therapy_in_patients_with_severe_COVID-19_disease |doi: 10.1038/s41598-021-89444-5 |numerical_claims: To_detect_a_difference_at_90%_power,_alpha_0.05,_with_a_risk_ratio_of_0.7_and_risk_in_control_20%,_a_sample_size_of_822_in_each_group_would_be_needed. |publish_time: 11/05/2021 |authors: AlQahtani,_Manaf,_Abdulrahman,_Abdulkarim,_Almadani,_Abdulrahman,_Alali,_Salman_Yousif,_Al_Zamrooni,_Alaa_Mahmood,_Hejab,_Amal_Hamza,_Conroy,_Ronán_M.,_Wasif,_Pearl,_Otoom,_Sameer,_Atkin,_Stephen_L.,_Abduljalil,_Manal |journal: Sci_Rep |country: Bahrain |institution: Bahrain_Defence_Force_Hospital
Linha 899 |claim_uid: 1pazgm |cord_uid: bjz7m7od |title: Randomized_controlled_trial_of_convalescent_plasma_therapy_against_standard_therapy_in_patients_with_severe_COVID-19_disease |doi: 10.1038/s41598-021-89444-5 |numerical_claims: These_results_are_in_accord_with_a_larger_study_done_in_China_by_Ling_Li_et_al.,_that_was_stopped_prematurely_due_to_the_decrease_in_COVID_19_cases_8_,_however,_as_shown_in_this_pilot,_it_is_likely_that_trial_was_underpowered_as_an_estimated_sample_size_of_over_822_in_each_group_may_be_required_to_show_a_difference. |publish_time: 11/05/2021 |authors: AlQahtani,_Manaf,_Abdulrahman,_Abdulkarim,_Almadani,_Abdulrahman,_Alali,_Salman_Yousif,_Al_Zamrooni,_Alaa_Mahmood,_Hejab,_Amal_Hamza,_Conroy,_Ronán_M.,_Wasif,_Pearl,_Otoom,_Sameer,_Atkin,_Stephen_L.,_Abduljalil,_Manal |journal: Sci_Rep |country: Bahrain |institution: Bahrain_Defence_Force_Hospital
Linha 945 |claim_uid: 5agloe |cord_uid: qg8vrl1s |title: COVID-19_pandemic,_lockdown,_and_consequences_for_a_fossil_fuel-dominated_electricity_system |doi: 10.1063/5.0050551 |numerical_claims: This_is_due_to_the_fact_that_a_coal-fired_power_plant_with_a_present_capacity_of_622_MW_(which_will_be_expanded_to_1320_MW)_came_online_in_January_2020. |publish_time: 05/05/2021 |authors: Khan,_Imran,_Sahabuddin,_Md. |journal: AIP_Adv |country: Bangladesh |institution: Jashore_University_of_Science_and_Technology
Linha 946 |claim_uid: 9wjspy |cord_uid: qg8vrl1s |title: COVID-19_pandemic,_lockdown,_and_consequences_for_a_fossil_fuel-dominated_electricity_system |doi: 10.1063/5.0050551 |numerical_claims: A_sharp_increase_in_CI_can_be_seen_during_peak_hours_(5-11_pm)_in_2019. |publish_time: 05/05/2021 |authors: Khan,_Imran,_Sahabuddin,_Md. |journal: AIP_Adv |country: Bangladesh |institution: Jashore_University_of_Science_and_Technology
Linha 947 |claim_uid: 9jpcwg |cord_uid: qg8vrl1s |title: COVID-19_pandemic,_lockdown,_and_consequences_for_a_fossil_fuel-dominated_electricity_system |doi: 10.1063/5.0050551 |numerical_claims: It_can_be_seen_that_at_the_beginning_of_the_lockdown,_that_is,_the_last_week_of_March_2020,_the_demand_reduction_was_not_significant. |publish_time: 05/05/2021 |authors: Khan,_Imran,_Sahabuddin,_Md. |journal: AIP_Adv |country: Bangladesh |institution: Jashore_University_of_Science_and_Technology
Linha 948 |claim_uid: 3enzpv |cord_uid: qg8vrl1s |title: COVID-19_pandemic,_lockdown,_and_consequences_for_a_fossil_fuel-dominated_electricity_system |doi: 10.1063/5.0050551 |numerical_claims: For_example,_in_terms_of_economic_evaluation,_the_estimated_loss_in_Bangladesh's_power_sector_due_to_the_pandemic_from_March_to_December_2020_is_expected_to_be_BDT_Bangladeshi_taka_(Bangladeshi_currency)_354.07_10_9,_and_the_breakdowns_are_shown_in_Fig._10. |publish_time: 05/05/2021 |authors: Khan,_Imran,_Sahabuddin,_Md. |journal: AIP_Adv |country: Bangladesh |institution: Jashore_University_of_Science_and_Technology
Linha 949 |claim_uid: 6jhspi |cord_uid: qg8vrl1s |title: COVID-19_pandemic,_lockdown,_and_consequences_for_a_fossil_fuel-dominated_electricity_system |doi: 10.1063/5.0050551 |numerical_claims: Thus,_to_reduce_demand_along_with_DSM_schemes,_efficiency_improvement_in_home_appliances_might_be_an_effective_option_as_more_than_50%_of_consumers_are_from_residences. |publish_time: 05/05/2021 |authors: Khan,_Imran,_Sahabuddin,_Md. |journal: AIP_Adv |country: Bangladesh |institution: Jashore_University_of_Science_and_Technology
Linha 390 |claim_uid: 2vmkpa |cord_uid: x52u8w28 |title: Phytochemicals_from_Leucas_zeylanica_Targeting_Main_Protease_of_SARS-CoV-2:_Chemical_Profiles,_Molecular_Docking,_and_Molecular_Dynamics_Simulations |doi: 10.3390/biology10080789 |numerical_claims: Baicalin,_baicalein,_25-hydroxycholesterol,_chrysosplenetin,_shikonin,_panduratin_A,_and_quercetin_are_some_of_the_examples_of_plant_compounds_that_exhibited_a_potential_effect_against_SARS-CoV-2_during_in_vitro_studies. |publish_time: 17/08/2021 |authors: Dutta,_Mycal,_Tareq,_Abu_Montakim,_Rakib,_Ahmed,_Mahmud,_Shafi,_Sami,_Saad_Ahmed,_Mallick,_Jewel,_Islam,_Mohammad_Nazmul,_Majumder,_Mohuya,_Uddin,_Md._Zia,_Alsubaie,_Abdullah,_Almalki,_Abdulraheem_S._A.,_Khandaker,_Mayeen_Uddin,_Bradley,_D.A.,_Rana,_Md._Sohel,_Emran,_Talha_Bin |journal: Biology_(Basel) |country: Bangladesh |institution: BGC_Trust_University_Bangladesh
Linha 391 |claim_uid: 2trcwv |cord_uid: x52u8w28 |title: Phytochemicals_from_Leucas_zeylanica_Targeting_Main_Protease_of_SARS-CoV-2:_Chemical_Profiles,_Molecular_Docking,_and_Molecular_Dynamics_Simulations |doi: 10.3390/biology10080789 |numerical_claims: According_to_Lipinski's_RO5,_a_compound_may_exhibit_optimal_drug-like_behavior_if_the_selected_parameters_are_within_the_specified_limit_and_do_not_violate_more_than_one_of_the_following_five_criteria:_molecular_weight_<500_g/mol,_5_hydrogen_bond_donors,_10_hydrogen_bond_acceptors,_lipophilicity_<5,_and_molar_refractivity_between_40_and_130. |publish_time: 17/08/2021 |authors: Dutta,_Mycal,_Tareq,_Abu_Montakim,_Rakib,_Ahmed,_Mahmud,_Shafi,_Sami,_Saad_Ahmed,_Mallick,_Jewel,_Islam,_Mohammad_Nazmul,_Majumder,_Mohuya,_Uddin,_Md._Zia,_Alsubaie,_Abdullah,_Almalki,_Abdulraheem_S._A.,_Khandaker,_Mayeen_Uddin,_Bradley,_D.A.,_Rana,_Md._Sohel,_Emran,_Talha_Bin |journal: Biology_(Basel) |country: Bangladesh |institution: BGC_Trust_University_Bangladesh
Linha 392 |claim_uid: 7pkcij |cord_uid: x52u8w28 |title: Phytochemicals_from_Leucas_zeylanica_Targeting_Main_Protease_of_SARS-CoV-2:_Chemical_Profiles,_Molecular_Docking,_and_Molecular_Dynamics_Simulations |doi: 10.3390/biology10080789 |numerical_claims: However,_23_other_compounds_conformed_with_Lipinski's_RO5_and_may_demonstrate_optimal_drug-like_behavior. |publish_time: 17/08/2021 |authors: Dutta,_Mycal,_Tareq,_Abu_Montakim,_Rakib,_Ahmed,_Mahmud,_Shafi,_Sami,_Saad_Ahmed,_Mallick,_Jewel,_Islam,_Mohammad_Nazmul,_Majumder,_Mohuya,_Uddin,_Md._Zia,_Alsubaie,_Abdullah,_Almalki,_Abdulraheem_S._A.,_Khandaker,_Mayeen_Uddin,_Bradley,_D.A.,_Rana,_Md._Sohel,_Emran,_Talha_Bin |journal: Biology_(Basel) |country: Bangladesh |institution: BGC_Trust_University_Bangladesh
Linha 393 |claim_uid: 6glwoz |cord_uid: x52u8w28 |title: Phytochemicals_from_Leucas_zeylanica_Targeting_Main_Protease_of_SARS-CoV-2:_Chemical_Profiles,_Molecular_Docking,_and_Molecular_Dynamics_Simulations |doi: 10.3390/biology10080789 |numerical_claims: By_contrast,_the_complex_containing_D3_demonstrated_initial_stability_until_40_ns,_after_which_the_Rg_value_increased,_which_may_represent_the_loose_packaging_of_the_system. |publish_time: 17/08/2021 |authors: Dutta,_Mycal,_Tareq,_Abu_Montakim,_Rakib,_Ahmed,_Mahmud,_Shafi,_Sami,_Saad_Ahmed,_Mallick,_Jewel,_Islam,_Mohammad_Nazmul,_Majumder,_Mohuya,_Uddin,_Md._Zia,_Alsubaie,_Abdullah,_Almalki,_Abdulraheem_S._A.,_Khandaker,_Mayeen_Uddin,_Bradley,_D.A.,_Rana,_Md._Sohel,_Emran,_Talha_Bin |journal: Biology_(Basel) |country: Bangladesh |institution: BGC_Trust_University_Bangladesh
Linha 394 |claim_uid: 7gxika |cord_uid: x52u8w28 |title: Phytochemicals_from_Leucas_zeylanica_Targeting_Main_Protease_of_SARS-CoV-2:_Chemical_Profiles,_Molecular_Docking,_and_Molecular_Dynamics_Simulations |doi: 10.3390/biology10080789 |numerical_claims: However,_traditional_drug_development_processes_are_tedious,_and_the_development_of_suitable_drug_candidates_can_take_as_long_as_15_years,_which_is_not_a_feasible_approach_for_identifying_appropriate_cures_for_COVID-19. |publish_time: 17/08/2021 |authors: Dutta,_Mycal,_Tareq,_Abu_Montakim,_Rakib,_Ahmed,_Mahmud,_Shafi,_Sami,_Saad_Ahmed,_Mallick,_Jewel,_Islam,_Mohammad_Nazmul,_Majumder,_Mohuya,_Uddin,_Md._Zia,_Alsubaie,_Abdullah,_Almalki,_Abdulraheem_S._A.,_Khandaker,_Mayeen_Uddin,_Bradley,_D.A.,_Rana,_Md._Sohel,_Emran,_Talha_Bin |journal: Biology_(Basel) |country: Bangladesh |institution: BGC_Trust_University_Bangladesh
Linha 395 |claim_uid: 4snboa |cord_uid: x52u8w28 |title: Phytochemicals_from_Leucas_zeylanica_Targeting_Main_Protease_of_SARS-CoV-2:_Chemical_Profiles,_Molecular_Docking,_and_Molecular_Dynamics_Simulations |doi: 10.3390/biology10080789 |numerical_claims: From_molecular_docking_analysis,_26_compounds_were_capable_of_interaction_with_the_SARS-CoV-2_M(pro),_while_three_compounds,_namely_11-oxa-dispiro_undecan-1-ol_(_5.755_kcal/mol),_azetidin-2-one_3,3-dimethyl-4-(1-aminoethyl)_(_5.39_kcal/mol),_and_lorazepam,_2TMS_derivative_(_5.246_kcal/mol),_exhibited_the_highest_docking_scores. |publish_time: 17/08/2021 |authors: Dutta,_Mycal,_Tareq,_Abu_Montakim,_Rakib,_Ahmed,_Mahmud,_Shafi,_Sami,_Saad_Ahmed,_Mallick,_Jewel,_Islam,_Mohammad_Nazmul,_Majumder,_Mohuya,_Uddin,_Md._Zia,_Alsubaie,_Abdullah,_Almalki,_Abdulraheem_S._A.,_Khandaker,_Mayeen_Uddin,_Bradley,_D.A.,_Rana,_Md._Sohel,_Emran,_Talha_Bin |journal: Biology_(Basel) |country: Bangladesh |institution: BGC_Trust_University_Bangladesh
Linha 917 |claim_uid: 2omhae |cord_uid: wo35tjrm |title: Practice_and_exploration_of_infection_prevention_and_control_measures_based_on_risk_management_of_surgical_patients_during_the_epidemic_of_Corona_Virus_Disease_2019_(COVID-19) |doi: 10.1016/j.ajic.2020.07.023 |numerical_claims: The_security_personnel_should_direct_the_way_to_ensure_that_no_other_personnel_are_close_within_1_meter_around_the_patient. |publish_time: 21/07/2020 |authors: Ren,_Yan,_Liu,_Shuang,_Yang,_Lin,_Shan,_Jiao,_Liu,_Yue,_Li,_Hong,_Chen,_Li-Hong,_Chen,_Hui |journal: Am_J_Infect_Control |country: Beijing，China |institution: Control，Beijing_Jishuitan_Hospital
Linha 918 |claim_uid: 1xctoy |cord_uid: wo35tjrm |title: Practice_and_exploration_of_infection_prevention_and_control_measures_based_on_risk_management_of_surgical_patients_during_the_epidemic_of_Corona_Virus_Disease_2019_(COVID-19) |doi: 10.1016/j.ajic.2020.07.023 |numerical_claims: The_elevator_can_be_used_after_30_minutes_of_door_opening_and_ventilation. |publish_time: 21/07/2020 |authors: Ren,_Yan,_Liu,_Shuang,_Yang,_Lin,_Shan,_Jiao,_Liu,_Yue,_Li,_Hong,_Chen,_Li-Hong,_Chen,_Hui |journal: Am_J_Infect_Control |country: Beijing，China |institution: Control，Beijing_Jishuitan_Hospital
Linha 919 |claim_uid: 6wqihu |cord_uid: wo35tjrm |title: Practice_and_exploration_of_infection_prevention_and_control_measures_based_on_risk_management_of_surgical_patients_during_the_epidemic_of_Corona_Virus_Disease_2019_(COVID-19) |doi: 10.1016/j.ajic.2020.07.023 |numerical_claims: All_those_who_handle_health-care_waste_should_wear_appropriate_PPE_(boots,_long-sleeved_gown,_heavy-duty_gloves,_mask,_and_goggles_or_a_face_shield)_and_perform_hand_hygiene_after_removing_it_29. |publish_time: 21/07/2020 |authors: Ren,_Yan,_Liu,_Shuang,_Yang,_Lin,_Shan,_Jiao,_Liu,_Yue,_Li,_Hong,_Chen,_Li-Hong,_Chen,_Hui |journal: Am_J_Infect_Control |country: Beijing，China |institution: Control，Beijing_Jishuitan_Hospital
Linha 920 |claim_uid: 8dybxg |cord_uid: wo35tjrm |title: Practice_and_exploration_of_infection_prevention_and_control_measures_based_on_risk_management_of_surgical_patients_during_the_epidemic_of_Corona_Virus_Disease_2019_(COVID-19) |doi: 10.1016/j.ajic.2020.07.023 |numerical_claims: Because_there_are_only_22_cases_with_medium_and_high_risk,_and_the_COVID-19_confirmed_by_laboratory_are_insufficient,_we_will_continue_to_accumulate_surgical_cases_and_practical_experience_in_the_follow-up_study,_and_constantly_improve_the_surgical_risk_assessment_system,_so_as_to_make_the_research_more_in-depth. |publish_time: 21/07/2020 |authors: Ren,_Yan,_Liu,_Shuang,_Yang,_Lin,_Shan,_Jiao,_Liu,_Yue,_Li,_Hong,_Chen,_Li-Hong,_Chen,_Hui |journal: Am_J_Infect_Control |country: Beijing，China |institution: Control，Beijing_Jishuitan_Hospital
Linha 921 |claim_uid: 8xkqys |cord_uid: wo35tjrm |title: Practice_and_exploration_of_infection_prevention_and_control_measures_based_on_risk_management_of_surgical_patients_during_the_epidemic_of_Corona_Virus_Disease_2019_(COVID-19) |doi: 10.1016/j.ajic.2020.07.023 |numerical_claims: From_January_20_to_March_5,_2020,_a_total_of_4720_operations_had_been_performed_in_this_hospital,_of_which_1565_were_emergency_operations_and_22_for_medium-risk_and_high-risk_patients_who_may_have_the_2019_severe_acute_respiratory_syndrome_coronavirus_2_(SARS-CoV-2)_infection. |publish_time: 21/07/2020 |authors: Ren,_Yan,_Liu,_Shuang,_Yang,_Lin,_Shan,_Jiao,_Liu,_Yue,_Li,_Hong,_Chen,_Li-Hong,_Chen,_Hui |journal: Am_J_Infect_Control |country: Beijing，China |institution: Control，Beijing_Jishuitan_Hospital
Linha 924 |claim_uid: 4ianrh |cord_uid: opgaxpgd |title: What_we_can_learn_from_the_dynamics_of_the_1889_‘Russian_flu’_pandemic_for_the_future_trajectory_of_COVID‐19 |doi: 10.1111/1751-7915.13916 |numerical_claims: From_these_data,_one_might_deduce_a_protracted_5-year_course_for_a_COVID-19-like_pandemic,_suggesting_that_COVID-19_might_occupy_us_well_beyond_2022_if_the_current_vaccination_campaigns_does_not_change_its_'natural'_trajectory. |publish_time: 31/08/2021 |authors: Brüssow,_Harald |journal: Microb_Biotechnol |country: Belgium._Summary |institution: KU_Leuven
Linha 925 |claim_uid: 2tkvwi |cord_uid: opgaxpgd |title: What_we_can_learn_from_the_dynamics_of_the_1889_‘Russian_flu’_pandemic_for_the_future_trajectory_of_COVID‐19 |doi: 10.1111/1751-7915.13916 |numerical_claims: Is_this_trajectory_a_consequence_of_modern_lifestyle_characterized_by_globalization,_overpopulation,_environmental_pollution_and_accelerated_infection_transmission_by_air_traffic_While_these_factors_certainly_contributed_to_the_spread_of_the_current_pandemic,_the_historical_experience_from_the_1889_pandemic_tells_us_that_an_epidemic_can_spread_as_quickly_among_a_world_population_of_only_1.5_billion_people_with_railroad_and_ship_connections_as_the_quickest_means_of_transportation_in_a_far_less_connected_world_than_ours_(here_and_in_the_following,_historical_data_are_quoted_from,_if_not_indicated_otherwise). |publish_time: 31/08/2021 |authors: Brüssow,_Harald |journal: Microb_Biotechnol |country: Belgium._Summary |institution: KU_Leuven
Linha 926 |claim_uid: 9gpthy |cord_uid: opgaxpgd |title: What_we_can_learn_from_the_dynamics_of_the_1889_‘Russian_flu’_pandemic_for_the_future_trajectory_of_COVID‐19 |doi: 10.1111/1751-7915.13916 |numerical_claims: While_some_authors_alluded_to_the_hypothesis_of_two_different,_sequential_epidemics_with_two_different_agents_(this_would_potentially_reconcile_the_two_competing_hypotheses_of_an_influenza_virus_or_a_coronavirus_causing_the_1889_pandemic),_the_general_consensus_was_that_of_a_single_pandemic_over_a_3-to_5-year_period. |publish_time: 31/08/2021 |authors: Brüssow,_Harald |journal: Microb_Biotechnol |country: Belgium._Summary |institution: KU_Leuven
Linha 927 |claim_uid: 5imcdl |cord_uid: opgaxpgd |title: What_we_can_learn_from_the_dynamics_of_the_1889_‘Russian_flu’_pandemic_for_the_future_trajectory_of_COVID‐19 |doi: 10.1111/1751-7915.13916 |numerical_claims: However,_in_1891,_mortality_rates_were_3.7-fold_higher_in_London_and_5.5fold_higher_in_English_cities_than_in_the_corresponding_places_in_1890. |publish_time: 31/08/2021 |authors: Brüssow,_Harald |journal: Microb_Biotechnol |country: Belgium._Summary |institution: KU_Leuven
